Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	3.023	0.468	2.819	0.522	6.20325981652516e-05	0.382080943667743	0.000542088294886873	0.000103387663608753	0.612568611527202	0.000903480491478122
Bacteroidetes	4.748	0.217	4.727	0.185	0.533152979545927	0.0692149698380087	0.00260444135335202	0.533152979545927	0.334183546147413	0.00372063050478859
Cyanobacteria_Chloroplast	0.748	0.751	0.254	0.461	7.37197860367837e-15	0.899469493383514	0.184886901624525	2.45732620122612e-14	0.899469493383514	0.184886901624525
Deinococcus_Thermus	0.205	0.394	1.579	0.952	1.30123343379242e-53	0.100732486284467	0.120321110797643	1.30123343379242e-52	0.334183546147413	0.133690123108492
Firmicutes	4.903	0.145	4.936	0.107	0.019673660186585	0.122578246758675	8.6599546408519e-08	0.0245920752332312	0.334183546147413	2.16498866021297e-07
Fusobacteria	0.616	0.975	1.212	1.116	1.7224728300418e-08	0.477229988841681	2.70733458871766e-13	4.30618207510449e-08	0.612568611527202	9.02444862905885e-13
Proteobacteria	3.253	0.534	3.458	0.397	2.0308217932136e-05	0.531281358836681	3.33158659376201e-07	4.06164358642721e-05	0.612568611527202	6.66317318752402e-07
Synergistetes	0.541	0.779	0.66	0.851	0.279374225410486	0.551311750374482	1.22214862169357e-14	0.310415806011651	0.612568611527202	8.12105202290796e-14
TM7	0.887	0.692	0.312	0.442	1.64134897668892e-21	0.133673418458965	0.029926718820918	8.2067448834446e-21	0.334183546147413	0.0374083985261475
Verrucomicrobia	1.559	1.208	1.222	1.054	0.00569307217559133	0.544944766817478	1.62421040458159e-14	0.00813296025084475	0.612568611527202	8.12105202290796e-14
