Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Clostridiales	5.87989093956298	5.54814137305579	0	9.1935631820933e-18	0.748987069263464	2.88657986402541e-14	3.0098146197588e-13	0.662563648472026	0.00836445920271726	6.89517238656997e-17	0.970275751530884	2.16493489801906e-13	2.2573609648191e-12	0.821660802420693	0.0179238411486798
Verrucomicrobiales	1.64515522079336	1.56283146522423	0	0.0688201727233348	0.988285755840166	0.0561974135671447	0.143739785307799	0.360224223125397	2.33664056486489e-05	0.258075647712506	0.999816050731035	0.280987067835723	0.539024194904247	0.821660802420693	0.000116832028243244
Methanobacteriales	0.122484749125543	0	0	0.640548157966503	0.703496343835005	0.800711276007747	1	0.154266394455753	0.589759723846064	0.744673532288983	0.970275751530884	0.906085357484562	1	0.821660802420693	0.804217805244632
Selenomonadales	1.11903337029704	0.844814599881673	0	0.15538899831398	0.823649548368848	0.135448454972561	0.426222345246618	0.722537802005118	1.10669993231003e-06	0.40132592250223	0.970275751530884	0.507931706147105	1	0.821660802420693	8.30024949232522e-06
Pseudomonadales	0.11416083898579	0.470484290104179	0	0.196648794403287	0.2232748569319	0.906085357484562	0.29433323181149	0.0418630001316192	0.999782296005921	0.40132592250223	0.970275751530884	0.906085357484562	0.88299969543447	0.627945001974287	0.999824597780446
Enterobacteriales	1.21269881773222	3.00327876898151	0.90537975918789	0.00577964641129114	0.00621978574314208	0.90523495890861	0.0364106657190204	0.55151185490717	0.000563126318289162	0.0288982320564557	0.0932967861471312	0.906085357484562	0.182053328595102	0.821660802420693	0.0014078157957229
Coriobacteriales	0.857017631575822	0.55928669041693	0	0.214040492001189	0.736443164710292	0.206480109161152	0.605021021445923	0.551609389715339	0.0153678633516188	0.40132592250223	0.970275751530884	0.619440327483456	1	0.821660802420693	0.0288147437842852
Bacteroidales	6.31289435457093	5.82935189991014	0	2.02486257336481e-21	0.500575350997146	7.88258347483861e-15	3.1641356201817e-14	0.638509631881341	0.284250732662959	3.03729386004721e-20	0.970275751530884	1.18238752122579e-13	4.74620343027254e-13	0.821660802420693	0.473751221104932
Desulfovibrionales	0.320365331750216	0.177054709483501	0	0.538321926777381	0.828713806402649	0.554396112220922	0.874716805177277	0.766883415592647	0.000279889898634657	0.744673532288983	0.970275751530884	0.906085357484562	1	0.821660802420693	0.000839669695903972
Pasteurellales	0.0626492169542664	0	0	0.803012571197381	0.840905651326766	0.896350322235641	1	0.326643618166377	0.549289232251643	0.803012571197382	0.970275751530884	0.906085357484562	1	0.821660802420693	0.804217805244632
Synergistales	0.0455414183062529	0	0	0.803012571197382	0.840905651326766	0.896350322235642	1	0.326643618166377	0.971435235214311	0.803012571197382	0.970275751530884	0.906085357484562	1	0.821660802420693	0.999824597780446
Lactobacillales	0.417250505978051	0	0	0.201244678509935	0.282582990323799	0.448634852255501	1	0.698735235389729	1.75475051723161e-08	0.40132592250223	0.970275751530884	0.906085357484562	1	0.821660802420693	2.63212577584742e-07
Caudovirales	0.15471784018103	0	0	0.514810774400685	0.592111117716982	0.717908020563368	1	0.547433569400003	0.999824597780446	0.744673532288983	0.970275751530884	0.906085357484562	1	0.821660802420693	0.999824597780446
Bifidobacteriales	0.381168275798312	0.386378973684005	0	0.558531197443615	0.999816050731035	0.539554580877134	0.625366693269839	0.345164512063364	3.82408304995601e-05	0.744673532288983	0.999816050731035	0.906085357484562	1	0.821660802420693	0.00014340311437335
Burkholderiales	0.119892973941374	0	0	0.645383727983785	0.70768342400618	0.803723900429916	1	0.94356607242144	0.823453352704934	0.744673532288983	0.970275751530884	0.906085357484562	1	0.94356607242144	0.999824597780446
